# Airport timezone reference.
#
# Source: OpenFlights airports.dat (https://github.com/jpatokal/openflights), IATA code and
#   "Tz database time zone" columns, retrieved 2026-08-05.
# Scope: only the airports appearing as an origin or destination in the ingested BTS month.
# Manual entries: BIH, EAR, XWA are absent from OpenFlights; their zones are stated in
#   scripts/build_reference.py with justification.
# Validation: every row is cross-checked against the offset implied by CRSElapsedTime versus
#   local-time deltas per city pair (flightops.ingest.timezones). That derivation is a check,
#   not the source, because it is fragile around DST transitions and the 2400 convention.
iata,city,iana_timezone,source
SBP,San Luis Obispo,America/Los_Angeles,openflights
SCC,Deadhorse,America/Anchorage,openflights
SCE,State College Pennsylvania,America/New_York,openflights
SCK,Stockton,America/Los_Angeles,openflights
SDF,Louisville,America/New_York,openflights
SEA,Seattle,America/Los_Angeles,openflights
SFB,Sanford,America/New_York,openflights
SFO,San Francisco,America/Los_Angeles,openflights
SGF,Springfield,America/Chicago,openflights
SGU,Saint George,America/Denver,openflights
SHR,Sheridan,America/Denver,openflights
SHV,Shreveport,America/Chicago,openflights
SIT,Sitka,America/Anchorage,openflights
SJC,San Jose,America/Los_Angeles,openflights
SJT,San Angelo,America/Chicago,openflights
SJU,San Juan,America/Puerto_Rico,openflights
SLC,Salt Lake City,America/Denver,openflights
SLN,Salina,America/Chicago,openflights
SMF,Sacramento,America/Los_Angeles,openflights
SMX,Santa Maria,America/Los_Angeles,openflights
SNA,Santa Ana,America/Los_Angeles,openflights
SPI,Springfield,America/Chicago,openflights
SPN,Saipan,Pacific/Saipan,openflights
SPS,Wichita Falls,America/Chicago,openflights
SRQ,Sarasota,America/New_York,openflights
STC,Saint Cloud,America/Chicago,openflights
STL,St. Louis,America/Chicago,openflights
STS,Santa Rosa,America/Los_Angeles,openflights
STT,St. Thomas,America/St_Thomas,openflights
STX,St. Croix Island,America/St_Thomas,openflights
SUN,Hailey,America/Denver,openflights
SUX,Sioux City,America/Chicago,openflights
SWF,Newburgh,America/New_York,openflights
SWO,Stillwater,America/Chicago,openflights
SYR,Syracuse,America/New_York,openflights
TLH,Tallahassee,America/New_York,openflights
TOL,Toledo,America/New_York,openflights
TPA,Tampa,America/New_York,openflights
TRI,BRISTOL,America/New_York,openflights
TTN,Trenton,America/New_York,openflights
TUL,Tulsa,America/Chicago,openflights
TUS,Tucson,America/Phoenix,openflights
TVC,Traverse City,America/New_York,openflights
TWF,Twin Falls,America/Denver,openflights
TXK,Texarkana,America/Chicago,openflights
TYR,Tyler,America/Chicago,openflights
TYS,Knoxville,America/New_York,openflights
USA,Concord,America/New_York,openflights
VCT,Victoria,America/Chicago,openflights
VPS,Valparaiso,America/Chicago,openflights
VRB,Vero Beach,America/New_York,openflights
WRG,Wrangell,America/Anchorage,openflights
XNA,Bentonville,America/Chicago,openflights
XWA,"Williston, ND",America/Chicago,manual
YAK,Yakutat,America/Anchorage,openflights
YUM,Yuma,America/Phoenix,openflights
